# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
6101.3775730159,1.5833333333,0.0010000000,-10.5875387550,0.7540311692,0.6355601639,0.7972202731,0.0000000000
93.0024734557,87.4166666667,0.0010000000,0.8233727134,0.0282574776,0.0096877577,0.0984264073,0.0000000000
57.6608914187,83.0833333333,0.0010000000,0.8904923018,0.0274255749,0.0060063429,0.0775005991,0.0000000000
54.9457221056,83.4166666667,0.0010000000,0.8956488634,0.0268005788,0.0057235127,0.0756539009,0.0000000000
51.8291235095,83.2500000000,0.0010000000,0.9015678066,0.0262627159,0.0053988670,0.0734769830,0.0000000000
46.7268458080,83.6666666667,0.0010000000,0.9112578872,0.0249821394,0.0048673798,0.0697666093,0.0000000000
42.2183903042,83.7500000000,0.0010000000,0.9198202000,0.0237724894,0.0043977490,0.0663155260,0.0000000000
40.0161196108,83.6666666667,0.0010000000,0.9240026812,0.0231082890,0.0041683458,0.0645627276,0.0000000000
38.7983783660,83.8333333333,0.0010000000,0.9263153759,0.0227412682,0.0040414977,0.0635727752,0.0000000000
37.9996196659,84.0000000000,0.0010000000,0.9278323526,0.0224997438,0.0039582937,0.0629149721,0.0000000000
37.4820338568,83.9166666667,0.0010000000,0.9288153348,0.0223592479,0.0039043785,0.0624850264,0.0000000000
36.5985965929,84.1666666667,0.0010000000,0.9304931302,0.0220570098,0.0038123538,0.0617442614,0.0000000000
37.1824425833,84.6666666667,0.0010000000,0.9293843088,0.0219424521,0.0038731711,0.0622348062,0.0000000000
35.1905844617,84.5833333333,0.0010000000,0.9331671813,0.0216132921,0.0036656859,0.0605449080,0.0000000000
34.5825862326,84.3333333333,0.0010000000,0.9343218718,0.0215141928,0.0036023527,0.0600196029,0.0000000000
35.3297669761,84.2500000000,0.0010000000,0.9329028504,0.0215337606,0.0036801841,0.0606645206,0.0000000000
33.4884584463,84.5833333333,0.0010000000,0.9363998039,0.0209162314,0.0034883811,0.0590625185,0.0000000000
31.6731996913,85.1666666667,0.0010000000,0.9398472846,0.0201969266,0.0032992916,0.0574394606,0.0000000000
30.6540163707,84.5000000000,0.0010000000,0.9417828845,0.0198710712,0.0031931267,0.0565077579,0.0000000000
30.4317868714,85.6666666667,0.0010000000,0.9422049356,0.0193410243,0.0031699778,0.0563025559,0.0000000000
29.5664051367,85.0833333333,0.0010000000,0.9438484406,0.0192296723,0.0030798339,0.0554962509,0.0000000000
29.6572154542,85.5833333333,0.0010000000,0.9436759766,0.0188283732,0.0030892933,0.0555814112,0.0000000000
28.2977958978,85.2500000000,0.0010000000,0.9462577422,0.0187295655,0.0029476871,0.0542926061,0.0000000000
28.3674319810,85.0833333333,0.0010000000,0.9461254916,0.0185989661,0.0029549408,0.0543593675,0.0000000000
26.6632259585,85.2500000000,0.0010000000,0.9493620645,0.0180705926,0.0027774194,0.0527012274,0.0000000000
25.8493039622,84.9166666667,0.0010000000,0.9509078388,0.0178013696,0.0026926358,0.0518906141,0.0000000000
25.5140801604,84.9166666667,0.0010000000,0.9515444850,0.0177459003,0.0026577167,0.0515530473,0.0000000000
23.7761256660,85.2500000000,0.0010000000,0.9548451519,0.0169770391,0.0024766798,0.0497662512,0.0000000000
23.2595039018,85.5000000000,0.0010000000,0.9558263032,0.0166449403,0.0024228650,0.0492226065,0.0000000000
21.7758998603,86.0000000000,0.0010000000,0.9586439160,0.0159953330,0.0022683229,0.0476269136,0.0000000000
21.1976744596,85.6666666667,0.0010000000,0.9597420629,0.0158893885,0.0022080911,0.0469903297,0.0000000000
19.9266227440,86.2500000000,0.0010000000,0.9621560032,0.0150247188,0.0020756899,0.0455597396,0.0000000000
19.2221462083,87.0000000000,0.0010000000,0.9634939222,0.0143895963,0.0020023069,0.0447471440,0.0000000000
19.1473307464,86.5833333333,0.0010000000,0.9636360093,0.0145234950,0.0019945136,0.0446599778,0.0000000000
17.4713147174,87.0833333333,0.0010000000,0.9668190447,0.0139293677,0.0018199286,0.0426606214,0.0000000000
16.7140710983,87.0833333333,0.0010000000,0.9682571773,0.0133816311,0.0017410491,0.0417258801,0.0000000000
16.4893383698,87.5000000000,0.0010000000,0.9686839824,0.0130200216,0.0017176394,0.0414444135,0.0000000000
15.5289461572,87.8333333333,0.0010000000,0.9705079282,0.0124960457,0.0016175986,0.0402193804,0.0000000000
14.4663203639,88.1666666667,0.0010000000,0.9725260327,0.0120090450,0.0015069084,0.0388189177,0.0000000000
13.5393207694,88.1666666667,0.0010000000,0.9742865603,0.0114916810,0.0014103459,0.0375545725,0.0000000000
12.8407525307,88.9166666667,0.0010000000,0.9756132585,0.0109735672,0.0013375784,0.0365729188,0.0000000000
11.8899462571,89.0000000000,0.0010000000,0.9774189990,0.0104726654,0.0012385361,0.0351928412,0.0000000000
10.9645564770,89.1666666667,0.0010000000,0.9791764693,0.0099703937,0.0011421413,0.0337955811,0.0000000000
11.2076842467,89.2500000000,0.0010000000,0.9787147289,0.0097547528,0.0011674671,0.0341682178,0.0000000000
11.3581944461,88.2500000000,0.0010000000,0.9784288848,0.0103442324,0.0011831453,0.0343968786,0.0000000000
9.3764002890,89.0000000000,0.0010000000,0.9821926441,0.0091993430,0.0009767084,0.0312523337,0.0000000000
7.2465411075,90.6666666667,0.0010000000,0.9862376037,0.0075082674,0.0007548480,0.0274744978,0.0000000000
7.1380232404,90.5833333333,0.0010000000,0.9864436974,0.0076289144,0.0007435441,0.0272680048,0.0000000000
6.0881265468,89.5833333333,0.0010000000,0.9884376272,0.0071269833,0.0006341798,0.0251829277,0.0000000000
6.2369865569,89.5833333333,0.0010000000,0.9881549171,0.0072662276,0.0006496861,0.0254889407,0.0000000000
4.1036807467,91.0833333333,0.0010000000,0.9922064224,0.0057440870,0.0004274667,0.0206752689,0.0000000000
2.7550182676,92.3333333333,0.0010000000,0.9947677585,0.0045041575,0.0002869811,0.0169405156,0.0000000000
3.0499938908,91.5000000000,0.0010000000,0.9942075503,0.0050514256,0.0003177077,0.0178243568,0.0000000000
1.8775804900,93.2500000000,0.0010000000,0.9964341599,0.0036691322,0.0001955813,0.0139850385,0.0000000000
1.5563879080,94.0000000000,0.0010000000,0.9970441585,0.0032327069,0.0001621237,0.0127327821,0.0000000000
1.6571661386,93.6666666667,0.0010000000,0.9968527637,0.0034408744,0.0001726215,0.0131385491,0.0000000000
1.7656941816,92.5833333333,0.0010000000,0.9966466508,0.0037024517,0.0001839265,0.0135619496,0.0000000000
1.1092677176,94.2500000000,0.0010000000,0.9978933147,0.0028380816,0.0001155487,0.0107493591,0.0000000000
1.0631983392,94.3333333333,0.0010000000,0.9979808081,0.0027357892,0.0001107498,0.0105237744,0.0000000000
1.2241228376,93.2500000000,0.0010000000,0.9976751855,0.0030800162,0.0001275128,0.0112921564,0.0000000000
0.8048951821,94.7500000000,0.0010000000,0.9984713691,0.0024337735,0.0000838432,0.0091565959,0.0000000000
1.1544756953,93.5833333333,0.0010000000,0.9978074571,0.0032007533,0.0001202579,0.0109662156,0.0000000000
0.9641900116,94.3333333333,0.0010000000,0.9981688415,0.0027234473,0.0001004365,0.0100217992,0.0000000000
1.5265317426,92.3333333333,0.0010000000,0.9971008603,0.0036009777,0.0001590137,0.0126100644,0.0000000000
0.9940247952,93.6666666667,0.0010000000,0.9981121803,0.0028984717,0.0001035442,0.0101756695,0.0000000000
0.5177092259,95.4166666667,0.0010000000,0.9990167834,0.0020046157,0.0000539280,0.0073435716,0.0000000000
0.5823418771,95.2500000000,0.0010000000,0.9988940352,0.0020962366,0.0000606606,0.0077884923,0.0000000000
0.7143889919,94.4166666667,0.0010000000,0.9986432556,0.0025512851,0.0000744155,0.0086264431,0.0000000000
0.3830327604,96.0000000000,0.0010000000,0.9992725566,0.0017112205,0.0000398992,0.0063165850,0.0000000000
0.4389060443,95.8333333333,0.0010000000,0.9991664439,0.0019002006,0.0000457194,0.0067616107,0.0000000000
0.3154257017,96.6666666667,0.0010000000,0.9994009537,0.0015663891,0.0000328568,0.0057320890,0.0000000000
0.2931665375,96.5833333333,0.0010000000,0.9994432276,0.0015479661,0.0000305382,0.0055261362,0.0000000000
0.3906765808,96.1666666667,0.0010000000,0.9992580397,0.0017532961,0.0000406955,0.0063793007,0.0000000000
0.1619741402,97.7500000000,0.0010000000,0.9996923840,0.0010979466,0.0000168723,0.0041075913,0.0000000000
0.1820399745,97.7500000000,0.0010000000,0.9996542756,0.0011604764,0.0000189625,0.0043545950,0.0000000000
0.1205823872,97.5833333333,0.0010000000,0.9997709938,0.0009276732,0.0000125607,0.0035441029,0.0000000000
0.5011258905,95.2500000000,0.0010000000,0.9990482779,0.0020803192,0.0000522006,0.0072249992,0.0000000000
2.8189778548,90.5833333333,0.0010000000,0.9946462885,0.0051377286,0.0002936435,0.0171360301,0.0000000000
0.0805923771,98.1666666667,0.0010000000,0.9998469416,0.0006737508,0.0000083950,0.0028974194,0.0000000000
0.1024054897,98.0000000000,0.0010000000,0.9998055148,0.0007984551,0.0000106672,0.0032660739,0.0000000000
0.2423893673,97.1666666667,0.0010000000,0.9995396620,0.0015042896,0.0000252489,0.0050248276,0.0000000000
0.3362808346,96.3333333333,0.0010000000,0.9993613463,0.0017168986,0.0000350293,0.0059185516,0.0000000000
0.0744072679,98.0000000000,0.0010000000,0.9998586881,0.0006330289,0.0000077508,0.0027840182,0.0000000000
0.0638481062,98.1666666667,0.0010000000,0.9998787417,0.0005765905,0.0000066508,0.0025789231,0.0000000000
0.1808586804,97.3333333333,0.0010000000,0.9996565190,0.0012572499,0.0000188394,0.0043404431,0.0000000000
0.4071722778,96.6666666667,0.0010000000,0.9992267116,0.0021088208,0.0000424138,0.0065125862,0.0000000000
0.2120902810,97.0000000000,0.0010000000,0.9995972050,0.0013164556,0.0000220927,0.0047002912,0.0000000000
0.5664762714,94.9166666667,0.0010000000,0.9989241666,0.0024298994,0.0000590079,0.0076816629,0.0000000000
0.0663392657,98.0833333333,0.0010000000,0.9998740106,0.0006378975,0.0000069103,0.0026287526,0.0000000000
0.0518514230,98.1666666667,0.0010000000,0.9999015255,0.0004937253,0.0000054012,0.0023240460,0.0000000000
0.0486403857,98.1666666667,0.0010000000,0.9999076238,0.0004591002,0.0000050667,0.0022509347,0.0000000000
0.0465684454,98.2500000000,0.0010000000,0.9999115587,0.0004353018,0.0000048509,0.0022024713,0.0000000000
0.0447891225,98.2500000000,0.0010000000,0.9999149379,0.0004179042,0.0000046655,0.0021599846,0.0000000000
0.0601111607,97.9166666667,0.0010000000,0.9998858388,0.0006373723,0.0000062616,0.0025023148,0.0000000000
0.2577707554,97.4166666667,0.0010000000,0.9995104501,0.0016063175,0.0000268511,0.0051818067,0.0000000000
0.0794956079,97.7500000000,0.0010000000,0.9998490245,0.0007995103,0.0000082808,0.0028776366,0.0000000000
0.0512871711,98.0000000000,0.0010000000,0.9999025971,0.0005402279,0.0000053424,0.0023113662,0.0000000000
0.0766496113,97.8333333333,0.0010000000,0.9998544295,0.0007841775,0.0000079843,0.0028256565,0.0000000000
0.1025622656,97.8333333333,0.0010000000,0.9998052171,0.0009736810,0.0000106836,0.0032685730,0.0000000000
0.1284499911,97.5833333333,0.0010000000,0.9997560519,0.0010386034,0.0000133802,0.0036578966,0.0000000000
0.0470263358,98.0833333333,0.0010000000,0.9999106891,0.0005290463,0.0000048986,0.0022132728,0.0000000000
0.3078929551,96.2500000000,0.0010000000,0.9994152597,0.0016519270,0.0000320722,0.0056632308,0.0000000000
0.0346775194,98.2500000000,0.0010000000,0.9999341416,0.0003529918,0.0000036122,0.0019005898,0.0000000000
0.0331394636,98.2500000000,0.0010000000,0.9999370626,0.0003247647,0.0000034520,0.0018579633,0.0000000000
0.0321565204,98.2500000000,0.0010000000,0.9999389294,0.0003102985,0.0000033496,0.0018302015,0.0000000000
0.0466391632,98.0833333333,0.0010000000,0.9999114244,0.0005626844,0.0000048582,0.0022041430,0.0000000000
0.0306988636,98.3333333333,0.0010000000,0.9999416977,0.0002971897,0.0000031978,0.0017882389,0.0000000000
0.0311782930,98.2500000000,0.0010000000,0.9999407872,0.0003306307,0.0000032477,0.0018021484,0.0000000000
0.0300453485,98.3333333333,0.0010000000,0.9999429388,0.0003040704,0.0000031297,0.0017691025,0.0000000000
0.1831874655,97.9166666667,0.0010000000,0.9996520963,0.0012385561,0.0000190820,0.0043682980,0.0000000000
0.0282313760,98.3333333333,0.0010000000,0.9999463839,0.0002666810,0.0000029408,0.0017148669,0.0000000000
0.0547882910,98.0833333333,0.0010000000,0.9998959479,0.0006324998,0.0000057071,0.0023889566,0.0000000000
0.0272872877,98.4166666667,0.0010000000,0.9999481769,0.0002575226,0.0000028424,0.0016859495,0.0000000000
0.0266242717,98.3333333333,0.0010000000,0.9999494360,0.0002476362,0.0000027734,0.0016653413,0.0000000000
0.0273269506,98.3333333333,0.0010000000,0.9999481015,0.0002864443,0.0000028466,0.0016871744,0.0000000000
0.0296854600,98.1666666667,0.0010000000,0.9999436223,0.0003749396,0.0000030922,0.0017584753,0.0000000000
0.0308222911,98.3333333333,0.0010000000,0.9999414633,0.0003652757,0.0000032107,0.0017918302,0.0000000000
0.0260177070,98.4166666667,0.0010000000,0.9999505880,0.0002643118,0.0000027102,0.0016462618,0.0000000000
0.0251285324,98.4166666667,0.0010000000,0.9999522767,0.0002411203,0.0000026176,0.0016178861,0.0000000000
0.0246127942,98.5000000000,0.0010000000,0.9999532562,0.0002275075,0.0000025638,0.0016011973,0.0000000000
0.0242024846,98.5000000000,0.0010000000,0.9999540354,0.0002186959,0.0000025211,0.0015877947,0.0000000000
0.0245684032,98.5000000000,0.0010000000,0.9999533405,0.0002415177,0.0000025592,0.0015997527,0.0000000000
0.0237260412,98.5000000000,0.0010000000,0.9999549403,0.0002123072,0.0000024715,0.0015720886,0.0000000000
0.0327309331,98.3333333333,0.0010000000,0.9999378385,0.0004143082,0.0000034095,0.0018464756,0.0000000000
0.0231834573,98.5000000000,0.0010000000,0.9999559707,0.0002079562,0.0000024149,0.0015540088,0.0000000000
0.0405565244,97.8333333333,0.0010000000,0.9999229764,0.0005380218,0.0000042246,0.0020553924,0.0000000000
0.0866415952,97.5833333333,0.0010000000,0.9998354531,0.0009147624,0.0000090252,0.0030041914,0.0000000000
0.0225220895,98.5000000000,0.0010000000,0.9999572268,0.0002155353,0.0000023461,0.0015316824,0.0000000000
2.0980640901,91.6666666667,0.0010000000,0.9960154246,0.0041672757,0.0002185483,0.0147833806,0.0000000000
0.0238103023,98.4166666667,0.0010000000,0.9999547802,0.0002746860,0.0000024802,0.0015748777,0.0000000000
0.0222916820,98.5000000000,0.0010000000,0.9999576644,0.0002323670,0.0000023221,0.0015238275,0.0000000000
0.0217004822,98.5000000000,0.0010000000,0.9999587871,0.0002148893,0.0000022605,0.0015034849,0.0000000000
0.0213022895,98.5000000000,0.0010000000,0.9999595434,0.0002045282,0.0000022190,0.0014896270,0.0000000000
0.0209761000,98.5000000000,0.0010000000,0.9999601629,0.0001971831,0.0000021850,0.0014781781,0.0000000000
0.0230296509,98.4166666667,0.0010000000,0.9999562628,0.0002817822,0.0000023989,0.0015488454,0.0000000000
0.0205044823,98.5000000000,0.0010000000,0.9999610586,0.0001910020,0.0000021359,0.0014614662,0.0000000000
0.5752349608,93.6666666667,0.0010000000,0.9989075324,0.0024326693,0.0000599203,0.0077408209,0.0000000000
0.0200416964,98.5000000000,0.0010000000,0.9999619375,0.0001865715,0.0000020877,0.0014448795,0.0000000000
0.7888315400,92.5833333333,0.0010000000,0.9985018767,0.0028095528,0.0000821700,0.0090647643,0.0000000000
0.0197267575,98.5000000000,0.0010000000,0.9999625356,0.0001999584,0.0000020549,0.0014334820,0.0000000000
0.0218852507,98.3333333333,0.0010000000,0.9999584362,0.0002897878,0.0000022797,0.0015098721,0.0000000000
0.0192164457,98.5000000000,0.0010000000,0.9999635047,0.0001819349,0.0000020017,0.0014148191,0.0000000000
0.0189321199,98.5000000000,0.0010000000,0.9999640447,0.0001728335,0.0000019721,0.0014043133,0.0000000000
0.0246888713,98.3333333333,0.0010000000,0.9999531117,0.0003409409,0.0000025718,0.0016036700,0.0000000000
0.0187388449,98.5000000000,0.0010000000,0.9999644118,0.0001764983,0.0000019520,0.0013971267,0.0000000000
0.0184667502,98.5000000000,0.0010000000,0.9999649285,0.0001695309,0.0000019236,0.0013869462,0.0000000000
0.2375959448,97.4166666667,0.0010000000,0.9995487655,0.0015867254,0.0000247496,0.0049748947,0.0000000000
0.0181297848,98.5000000000,0.0010000000,0.9999655685,0.0001752133,0.0000018885,0.0013742341,0.0000000000
0.0178456495,98.5000000000,0.0010000000,0.9999661081,0.0001639054,0.0000018589,0.0013634228,0.0000000000
0.0273627910,98.1666666667,0.0010000000,0.9999480335,0.0004043584,0.0000028503,0.0016882804,0.0000000000
0.0185639717,98.5000000000,0.0010000000,0.9999647439,0.0002113615,0.0000019337,0.0013905923,0.0000000000
0.0176918891,98.5000000000,0.0010000000,0.9999664001,0.0001693767,0.0000018429,0.0013575364,0.0000000000
0.0174331249,98.5833333333,0.0010000000,0.9999668916,0.0001620046,0.0000018160,0.0013475721,0.0000000000
0.1682204655,97.8333333333,0.0010000000,0.9996805211,0.0012304038,0.0000175230,0.0041860441,0.0000000000
0.0171867184,98.5833333333,0.0010000000,0.9999673595,0.0001663828,0.0000017903,0.0013380146,0.0000000000
0.0169222889,98.5833333333,0.0010000000,0.9999678617,0.0001576646,0.0000017627,0.0013276816,0.0000000000
0.0167084557,98.5833333333,0.0010000000,0.9999682678,0.0001533824,0.0000017405,0.0013192665,0.0000000000
0.0835748358,97.8333333333,0.0010000000,0.9998412774,0.0007902510,0.0000087057,0.0029505444,0.0000000000
0.0190171224,98.4166666667,0.0010000000,0.9999638833,0.0002480723,0.0000019810,0.0014074623,0.0000000000
0.0174195343,98.4166666667,0.0010000000,0.9999669174,0.0001995446,0.0000018145,0.0013470467,0.0000000000
0.0168765260,98.5000000000,0.0010000000,0.9999679486,0.0001795081,0.0000017580,0.0013258852,0.0000000000
0.0165712749,98.5000000000,0.0010000000,0.9999685284,0.0001679641,0.0000017262,0.0013138396,0.0000000000
0.0163407353,98.5833333333,0.0010000000,0.9999689662,0.0001601052,0.0000017022,0.0013046685,0.0000000000
0.0161417872,98.5833333333,0.0010000000,0.9999693440,0.0001543064,0.0000016814,0.0012967020,0.0000000000
0.0159600301,98.5833333333,0.0010000000,0.9999696892,0.0001498732,0.0000016625,0.0012893809,0.0000000000
1.5958048691,91.1666666667,0.0010000000,0.9969692991,0.0038972810,0.0001662297,0.0128930087,0.0000000000
